image,locationName,city,gencapacity (kW),Unnamed: 4,latitude,longitude
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Bluestone,"Kingston, NY",3000,,41.9884014,-74.0329692
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Boas 4 - NY Mooers IV,"Mooers Forks, NY",2800,,44.9361669,-73.6742045
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Bogart Solar, LLC","Palenville, NY",3000,,42.2092021,-73.9936641
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Borrego Solar - 267 Sugar Hill Rd,"Rexford, NY",6800,,42.8324472,-73.8450953
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Borrego Solar Systems - 12963 Main Rd,"Newstead, NY",6500,,42.9967682,-78.5067756
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Borrego Solar Systems - 2131 State Route 40,"Greenwich, NY",7300,,43.078257,-73.5357339
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Borrego Solar Systems - 2668 Redman Road,"Brockport, NY",8600,,43.2761635,-77.9678658
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Borrego Solar Systems - 3104 West Main Street Rd,"Batavia, NY",4500,,42.9991048,-78.2779378
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Borrego Solar Systems - 3232 West Main Street Rd,"Batavia, NY",5000,,43.0000347,-78.2700664
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Borrego Solar Systems - 5230 Town Line Road,"Batavia, NY",6500,,43.0121818,-78.2911121
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Borrego Solar Systems – 3254 Roosevelt Hwy,"Hamlin, NY",6900,,43.2973912,-77.9420395
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Borrego Solar Systems, Inc - Airport Rd.","Accord, NY",5600,,41.782763,-74.2912264
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Borrego Solar Systems, Inc - Allis Rd.","Medina, NY",7300,,43.2199551,-78.3643166
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Borrego Solar Systems, Inc - Beals Rd.","Medina, NY",5200,,43.2268258,-78.3590414
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Borrego Solar Systems, Inc - Route 209","Rochester, NY",5600,,43.1164106,-77.6825015
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Borrego Solar Systems, Inc. - 1414 Rowe Ave - PV Systems","Olean, NY",7200,,42.06847,-78.3778269
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Borrego Solar Systems, Inc. - 1639 State Highway 29 - PV Systems","Gloversville, NY",9800,,43.0435289,-74.2548132
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Borrego Solar Systems, Inc. - 241 Knapp Rd East - PV Systems","Akron, NY",6300,,43.0139161,-78.4603605
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Borrego Solar Systems, Inc. - 2645 Union St.","Spencerport, NY",6400,,43.1552599,-77.8087404
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Borrego Solar Systems, Inc. - 2648 Union St.","Spencerport, NY",5600,,43.154865,-77.8079289
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Borrego Solar Systems, Inc. - 2675 Union St.","Spencerport, NY",5800,,43.1540404,-77.8087848
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Borrego Solar Systems, Inc. - 4352 Williams Rd - PV Systems","Ransomville, NY",5900,,43.2033662,-78.9464474
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Borrego Solar Systems, Inc. - Dusenberry Lane","Troy, NY",7200,,42.7686049,-73.6260419
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Borrego Solar Systems, Inc. - Knapp Road","Akron, NY",6100,,43.0139161,-78.4603605
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"BQ Energy, LLC - Old White Lake Turnpike","Swan Lake, NY",4300,,41.717206,-74.7956669
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Brick Church Solar 1 - West, LLC","Brunswick, NY",5400,,42.7554749,-73.5824738
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Brickchurch Solar, LLC","North Rose, NY",3000,,43.1993686,-76.9757601
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Bright Field - NYS Route 70,"Burns, NY",5300,,42.460536,-77.7409687
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Bright Hill - 721 Eveland Road,"Arkport, NY",6800,,42.47227,-77.7092819
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Bright Oak - Galloway Road,"Batavia, NY",5800,,43.0332834,-78.2482223
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Broadalbin-Perth CSD - 1870 County Hwy 107,"Amsterdam, NY",1930,,43.0171955,-74.1919559
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Brodhead Solar, LLC - 1970-1976 State Route 32","Modena, NY",3000,,41.6578139,-74.1157632
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Broome County - 375 Broome Corp Pkwy,"Conklin, NY",2500,,42.0615056,-75.8199708
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Broome County - 399 Broome Corp Pkwy,"Conklin, NY",2800,,42.0608144,-75.823115
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Bullitt Farm Solar - 6878 Fox Rd,"Marcy, NY",6600,,43.195668,-75.2656956
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Burke Solar, LLC - 115 Ketcham Road","Burke, NY",5800,,44.9168124,-74.1467409
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Burritt Road - NY Parma I - 146 Burritt Road,"Parma, NY",2800,,43.277129,-77.7657629
